127.0.0.1 - - [24/Apr/2026 22:52:34] "GET /games/shooter-game/ HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:41] "GET /games/shooter-game/ HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:41] "GET /scripts/hide-overlay.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:41] code 404, message File not found
192.168.1.127 - - [24/Apr/2026 22:53:41] "GET /games/shooter-game/assets/games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 404 -
192.168.1.127 - - [24/Apr/2026 22:53:41] "GET /games/shooter-game/shooter-game.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/screenshot-shortcut.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/shooter-game-chat.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/saved-images-storage.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/images-panel-viewer-host-patch.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/levels/shooter-game-level1.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /experiments/chat-sandbox/chat-sandbox.html HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-frame-bridge.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-bg-suggest.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-shared-commands.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/bananarama.gif HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-resource-hud.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-math.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-layout.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-stage.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-ufo.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-file-timestamp.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-controls-formatters.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level-screenshot.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/level1-runtime.js HTTP/1.1" 200 -
192.168.1.127 - - [24/Apr/2026 22:53:42] "GET /games/shooter-game/assets/scripts/time-easter-egg.js HTTP/1.1" 200 -
